account;category;currency;amount;ref_currency_amount;type;payment_type;note;date;transfer;payee;labels
BBVA 0270;Active sport, fitness;MXN;583.5;583.5;Expense;Cash;;2022-12-21T18:00:00.000Z;false;;
Promerica Platinum Dolares;Fallado en traquear;USD;638.05;12745.79;Expense;Cash;;2022-12-21T08:44:34.582Z;false;;
Promerica Platinum Quetzales;Fallado en traquear;GTQ;3339.1;8569.5;Expense;Cash;;2022-12-21T08:43:42.598Z;false;;
Promerica Black Dolares;Fallado en traquear;USD;6.04;120.66;Expense;Cash;;2022-12-21T08:41:31.986Z;false;;
BI Dolares;Fallado en traquear;USD;387.16;7733.97;Expense;Cash;;2022-12-21T08:40:56.731Z;false;;
BI Quetzales;Income;GTQ;19;48.77;Income;Cash;;2022-12-21T08:40:39.491Z;false;;
BBVA Crédito;Fallado en traquear;MXN;6178;6178;Expense;Cash;;2022-12-21T08:36:01.207Z;false;;
BBVA 0270;Fallado en traquear;MXN;1097.5;1097.5;Expense;Cash;;2022-12-21T08:33:41.614Z;false;;
Promerica Platinum Dolares;TV, Streaming;USD;5.99;119.66;Expense;Credit card;;2022-12-20T18:00:00.000Z;false;Disney;
BBVA 0270;Insurances;MXN;70;70;Expense;Cash;;2022-12-13T18:00:00.000Z;false;;
BI Quetzales;Charity, gifts;GTQ;1240;3182.35;Expense;Cash;;2022-12-10T19:08:34.136Z;false;;
BI Quetzales;Transfer, withdraw;GTQ;1027.45;2636.85;Income;Cash;;2022-12-10T19:08:09.719Z;true;;
BI Dolares;Transfer, withdraw;USD;132;2636.85;Expense;Cash;;2022-12-10T19:08:09.719Z;true;;
BBVA 0270;Insurances;MXN;70;70;Expense;Cash;;2022-12-09T18:00:00.000Z;false;;
Promerica Platinum Dolares;Rent;USD;33.5;669.2;Expense;Credit card;Mensualidad de bodega;2022-12-08T18:00:00.000Z;false;;
Promerica Platinum Dolares;Software, apps, games;USD;4.84;96.68;Expense;Credit card;;2022-12-06T18:00:00.000Z;false;;
Promerica Platinum Dolares;Taxi;USD;8;159.81;Expense;Cash;Uber a Provdencia de Cayala;2022-12-06T04:12:28.655Z;false;;
Promerica Platinum Dolares;Taxi;USD;8;159.81;Expense;Cash;Uber a Cayala;2022-12-06T04:12:19.007Z;false;;
BBVA Crédito;Alcohol, tobacco;MXN;299;299;Expense;Cash;Bumblee;2022-12-06T04:11:48.861Z;false;;
Promerica Platinum Quetzales;Bar, cafe;GTQ;209;536.38;Expense;Cash;Red velvet;2022-12-06T01:51:54.384Z;false;;
Bi Queztales;Financial expenses;GTQ;30;76.99;Expense;Cash;;2022-12-05T18:00:00.000Z;false;;
Promerica Platinum Dolares;Taxi;USD;8;159.81;Expense;Cash;Uber al aeropuerto;2022-12-05T02:26:46.361Z;false;;
Promerica Platinum Dolares;Taxi;USD;8;159.81;Expense;Cash;Uber de regreso a la bodega;2022-12-05T02:26:23.917Z;false;;
Promerica Platinum Dolares;Taxi;USD;8;159.81;Expense;Cash;Uber de ida a bodega;2022-12-05T02:26:12.903Z;false;;
Promerica Platinum Dolares;Restaurant, fast-food;USD;15;299.64;Expense;Cash;Subway aeropuerto;2022-12-05T02:25:55.991Z;false;;
Promerica Platinum Dolares;Restaurant, fast-food;USD;21;419.5;Expense;Cash;Última cena de Vertiz;2022-12-04T02:50:10.361Z;false;;
Promerica Platinum Dolares;Fallado en traquear;USD;321;6412.35;Expense;Cash;;2022-12-04T00:50:52.265Z;false;;
Promerica Platinum Dolares;Services;USD;23;459.45;Expense;Cash;Equipo de limpieza;2022-12-04T00:50:05.190Z;false;;
Promerica Platinum Dolares;Taxi;USD;5.6;111.87;Expense;Cash;Uber a traer medicina;2022-12-04T00:09:36.291Z;false;;
Promerica Platinum Quetzales;Financial expenses;GTQ;29;74.43;Expense;Cash;Seguro de tarjeta;2022-12-03T19:57:52.818Z;false;;
Promerica Platinum Quetzales;Charity, gifts;GTQ;260;667.27;Expense;Cash;iPhone mip;2022-12-03T19:57:37.435Z;false;;
Promerica Platinum Quetzales;Software, apps, games;GTQ;711;1824.72;Expense;Cash;Dron;2022-12-03T19:57:19.585Z;false;;
BI Quetzales;Transfer, withdraw;GTQ;1000;2566.41;Expense;Cash;;2022-12-03T19:57:05.869Z;true;;
Promerica Platinum Quetzales;Transfer, withdraw;GTQ;1000;2566.41;Income;Cash;;2022-12-03T19:57:05.869Z;true;;
BI Quetzales;Transfer, withdraw;GTQ;1074.15;2756.71;Income;Cash;;2022-12-03T19:56:37.719Z;true;;
BI Dolares;Transfer, withdraw;USD;138;2756.71;Expense;Cash;;2022-12-03T19:56:37.719Z;true;;
BBVA 0270;Software, apps, games;MXN;150;150;Expense;Cash;HBO MAX;2022-12-03T19:56:12.119Z;false;;
BBVA 0270;Active sport, fitness;MXN;500;500;Expense;Cash;Smartfit;2022-12-03T19:55:59.819Z;false;;
BBVA 0270;Holiday, trips, hotels;MXN;2000;2000;Expense;Cash;Puerto escondido Tristán;2022-12-03T19:55:39.234Z;false;;
BBVA 0270;Rent;MXN;13500;13500;Expense;Cash;Casa;2022-12-03T19:55:28.466Z;false;;
BBVA 0270;Transfer, withdraw;MXN;9000;9000;Income;Cash;;2022-12-03T19:43:44.713Z;true;;
Cash Mexico;Transfer, withdraw;MXN;9000;9000;Expense;Cash;;2022-12-03T19:43:44.713Z;true;;
Cash Mexico;Fallado en traquear;MXN;1000;1000;Expense;Cash;Cagada de cerrajero;2022-12-03T19:43:32.219Z;false;;
Cash Mexico;Charges, Fees;MXN;256;256;Expense;Cash;Comisión de tarjetas;2022-12-03T19:43:16.193Z;false;;
BI Dolares;Transfer, withdraw;USD;3000;59928.48;Expense;Cash;;2022-12-03T19:42:29.432Z;true;;
Promerica Platinum Dolares;Transfer, withdraw;USD;3000;59928.48;Income;Cash;;2022-12-03T19:42:29.432Z;true;;
Promerica Platinum Dolares;Software, apps, games;USD;4.11;82.1;Expense;Cash;;2022-12-03T18:00:00.000Z;false;;
Promerica Platinum Dolares;Taxi;USD;8.2;163.8;Expense;Cash;Taxi de regreso;2022-12-03T08:33:18.353Z;false;;
Promerica Platinum Dolares;Restaurant, fast-food;USD;25;499.4;Expense;Cash;Tacos con migue y Tristán;2022-12-03T08:17:25.846Z;false;;
Promerica Platinum Dolares;Taxi;USD;9.2;183.78;Expense;Cash;Uber para venir a u storage;2022-12-02T22:48:13.118Z;false;;
Promerica Platinum Dolares;Shopping;USD;8;159.81;Expense;Cash;Candado;2022-12-02T22:47:40.619Z;false;;
BI Dolares;Loans, interests;USD;261;5213.78;Expense;Cash;Prestado a Isa!!;2022-12-02T20:35:17.199Z;false;;
BI Quetzales;Transfer, withdraw;GTQ;4000;10265.65;Expense;Cash;Envio de dinero a Gloria para pagar apartamento;2022-12-02T20:30:39.391Z;true;;
Cash Mexico;Transfer, withdraw;MXN;10265.65;10265.65;Income;Cash;Envio de dinero a Gloria para pagar apartamento;2022-12-02T20:30:39.391Z;true;;
BI Quetzales;Transfer, withdraw;GTQ;4063.09;10427.56;Income;Cash;;2022-12-02T20:30:02.907Z;true;;
BI Dolares;Transfer, withdraw;USD;522;10427.56;Expense;Cash;;2022-12-02T20:30:02.907Z;true;;
BI Dolares;Income;USD;5690.7;113678.33;Income;Cash;Salario de BairesDev;2022-12-02T20:27:11.504Z;false;;
Promerica Platinum Dolares;Restaurant, fast-food;USD;16;319.62;Expense;Cash;Rappi;2022-12-02T17:21:45.875Z;false;;
Promerica Platinum Dolares;Restaurant, fast-food;USD;26;519.38;Expense;Cash;Ramen y pastel de cena;2022-12-02T01:50:18.578Z;false;;
Promerica Platinum Dolares;Fallado en traquear;USD;338.98;6771.52;Expense;Cash;;2022-12-01T21:48:10.025Z;false;;
BI Dolares;Transfer, withdraw;USD;32.06;640.44;Expense;Cash;;2022-12-01T21:43:44.043Z;true;;
BI Gold quetzales;Telephony, mobile phone;GTQ;567.98;1457.67;Expense;Cash;Último pago de Apple Watch;2022-12-01T21:42:42.129Z;false;;
BI Gold quetzales;Holiday, trips, hotels;GTQ;2700;6929.31;Expense;Cash;Última cuota del divíselo todo;2022-12-01T21:42:10.496Z;false;;
BI Gold quetzales;Transfer, withdraw;GTQ;3267.98;8386.99;Income;Cash;;2022-12-01T21:41:37.261Z;true;;
BI Dolares;Transfer, withdraw;USD;419.85;8386.99;Expense;Cash;;2022-12-01T21:41:37.261Z;true;;
BI Quetzales;Charity, gifts;GTQ;450;1154.89;Expense;Cash;Excursión de Gloria;2022-12-01T21:30:38.898Z;false;;
BI Quetzales;Pets, animals;GTQ;300;769.92;Expense;Cash;Kobe Johnson Man;2022-12-01T21:30:16.873Z;false;;
BI Quetzales;Transfer, withdraw;GTQ;303.56;779.07;Income;Cash;;2022-12-01T21:30:02.878Z;true;;
BI Dolares;Transfer, withdraw;USD;39;779.07;Expense;Cash;;2022-12-01T21:30:02.878Z;true;;
BI Dolares;Communication, PC;USD;200;3995.23;Expense;Cash;Miptown;2022-12-01T21:27:56.984Z;false;;
BI Quetzales;Pets, animals;GTQ;1700;4362.9;Expense;Cash;Ericka para Kobe buba Johnson Man;2022-12-01T21:26:32.840Z;false;;
BI Quetzales;Transfer, withdraw;GTQ;612.11;1570.93;Income;Cash;;2022-12-01T21:24:52.860Z;true;;
BI Dolares;Transfer, withdraw;USD;78.64;1570.93;Expense;Cash;;2022-12-01T21:24:52.860Z;true;;
Promerica Platinum Dolares;Health care, doctor;USD;281;5613.3;Expense;Cash;Ultima dosis de medicina;2022-12-01T18:00:00.000Z;false;Doctora Paulina;
BBVA 0270;Advisory;MXN;4000;4000;Expense;Cash;Abogado de migración;2022-12-01T07:29:33.010Z;false;;
BBVA 0270;Transfer, withdraw;MXN;12229;12229;Expense;Cash;;2022-12-01T07:23:38.713Z;true;;
BBVA Crédito;Transfer, withdraw;MXN;12229;12229;Income;Cash;;2022-12-01T07:23:38.713Z;true;;
BBVA 0270;Transfer, withdraw;MXN;25000;25000;Income;Cash;;2022-12-01T07:22:53.737Z;true;;
Cash Mexico;Transfer, withdraw;MXN;25000;25000;Expense;Cash;;2022-12-01T07:22:53.737Z;true;;
Cash Mexico;Financial expenses;MXN;407.12;407.12;Expense;Cash;Comisión;2022-12-01T07:22:39.768Z;false;;
Cash Mexico;Transfer, withdraw;MXN;25664.12;25664.12;Income;Cash;;2022-12-01T07:22:10.827Z;true;;
BI Quetzales;Transfer, withdraw;GTQ;10000;25664.12;Expense;Cash;;2022-12-01T07:22:10.827Z;true;;
BBVA Crédito;Alcohol, tobacco;MXN;700;700;Expense;Cash;Tder;2022-11-29T08:31:10.165Z;false;;
Promerica Platinum Dolares;Long distance;USD;90;1797.85;Expense;Cash;MEX ~> GUA;2022-11-29T08:29:40.814Z;false;;
Promerica Platinum Dolares;Long distance;USD;205;4095.11;Expense;Cash;AUS ~> CUN;2022-11-29T08:29:23.408Z;false;;
Promerica Platinum Dolares;Restaurant, fast-food;USD;20;399.52;Expense;Cash;Taco Naco;2022-11-26T21:30:13.019Z;false;;
BI Quetzales;Transfer, withdraw;GTQ;10000;25664.12;Income;Cash;Transferencia a gl pada qie llegie a giatemala;2022-11-26T19:47:33.067Z;true;;
BI Dolares;Transfer, withdraw;USD;1310;26168.77;Expense;Cash;Transferencia a gl pada qie llegie a giatemala;2022-11-26T19:47:33.067Z;true;;
Promerica Platinum Dolares;Alcohol, tobacco;USD;35;699.17;Expense;Cash;Only fans (2 cuentas + tip);2022-11-26T19:35:46.921Z;false;;
Promerica Platinum Dolares;Software, apps, games;USD;30;599.28;Expense;Cash;Typeform;2022-11-26T19:35:10.437Z;false;;
Promerica Platinum Dolares;Hobbies;USD;35;699.17;Expense;Cash;Neon bitcoin;2022-11-26T19:34:09.168Z;false;;
Promerica Platinum Dolares;Taxi;USD;8;159.81;Expense;Cash;Uber de ida;2022-11-26T19:31:21.564Z;false;;
Promerica Platinum Dolares;Bar, cafe;USD;16;319.62;Expense;Cash;Vino Tristán;2022-11-26T03:16:29.175Z;false;;
Promerica Platinum Dolares;Restaurant, fast-food;USD;16;319.62;Expense;Cash;Pollos Mario;2022-11-24T23:10:45.568Z;false;;
Promerica Platinum Dolares;Alcohol, tobacco;USD;32;639.24;Expense;Cash;Aja Paula only;2022-11-24T10:30:24.487Z;false;;
Promerica Platinum Dolares;Restaurant, fast-food;USD;9.5;189.77;Expense;Cash;Rappi cena empanadas;2022-11-24T07:09:42.992Z;false;;
Promerica Platinum Dolares;Software, apps, games;USD;4.29;85.7;Expense;Credit card;;2022-11-23T18:00:00.000Z;false;;
Promerica Platinum Dolares;Restaurant, fast-food;USD;17;339.59;Expense;Cash;Salmon;2022-11-23T17:50:02.820Z;false;;
Promerica Platinum Dolares;Maintenance, repairs;USD;21;419.5;Expense;Cash;Limpieza de casa;2022-11-23T09:30:00.000Z;false;Homely;
BBVA 0270;Software, apps, games;MXN;150;150;Expense;Cash;;2022-11-22T18:00:00.000Z;false;;
BBVA 0270;Active sport, fitness;MXN;583.5;583.5;Expense;Cash;;2022-11-21T18:00:00.000Z;false;;
Promerica Platinum Dolares;Taxi;USD;9.2;183.78;Expense;Cash;Uber a casa de Miguel;2022-11-21T00:07:35.467Z;false;;
Promerica Platinum Dolares;TV, Streaming;USD;5.99;119.66;Expense;Credit card;;2022-11-20T18:00:00.000Z;false;Disney;
Promerica Platinum Dolares;Restaurant, fast-food;USD;22;439.48;Expense;Cash;Comida;2022-11-19T21:01:41.952Z;false;;
Promerica Platinum Dolares;Long distance;USD;285;5693.21;Expense;Cash;Billete de avión.;2022-11-19T08:57:08.883Z;false;;
Promerica Platinum Dolares;Restaurant, fast-food;USD;6.5;129.85;Expense;Cash;Cena de tacos;2022-11-19T06:13:15.675Z;false;;
Promerica Platinum Dolares;Restaurant, fast-food;USD;15;299.64;Expense;Cash;Desayuno paisa;2022-11-18T17:24:50.124Z;false;;
Promerica Platinum Dolares;Taxi;USD;20;399.52;Expense;Cash;Taxi de hoy;2022-11-17T22:09:14.437Z;false;;
Promerica Platinum Dolares;Communication, PC;USD;86;1717.95;Expense;Cash;Reposición de audífonos;2022-11-17T21:42:51.320Z;false;;
BBVA Crédito;Holiday, trips, hotels;MXN;2080;2080;Expense;Cash;;2022-11-15T19:13:48.227Z;false;;
Promerica Platinum Dolares;Bar, cafe;USD;9;179.79;Expense;Cash;Panadería;2022-11-14T20:46:58.893Z;false;;
Promerica Platinum Dolares;Fuel;USD;50;998.81;Expense;Cash;;2022-11-13T23:24:53.567Z;false;;
BBVA Crédito;Financial expenses;MXN;90;90;Expense;Cash;Comisión por retirar de tarjeta;2022-11-13T23:24:19.368Z;false;;
BBVA Crédito;Holiday, trips, hotels;MXN;1400;1400;Expense;Cash;Efectivo en Puerto Escondido;2022-11-13T23:23:51.731Z;false;;
BBVA Crédito;Fallado en traquear;MXN;2500;2500;Expense;Cash;;2022-11-13T23:22:54.475Z;false;;
BBVA Crédito;Communication, PC;MXN;2500;2500;Expense;Cash;Camara eos m50;2022-11-13T23:20:45.442Z;false;;
BBVA 0270;Insurances;MXN;70;70;Expense;Cash;;2022-11-13T18:00:00.000Z;false;;
Promerica Platinum Dolares;Holiday, trips, hotels;USD;54;1078.71;Expense;Cash;Airbnb en playa;2022-11-12T00:37:36.065Z;false;;
Promerica Platinum Dolares;Alcohol, tobacco;USD;17;339.59;Expense;Cash;Tequila sunrise y chelas con Tristán;2022-11-10T03:38:42.897Z;false;;
BBVA 0270;Insurances;MXN;70;70;Expense;Cash;;2022-11-09T18:00:00.000Z;false;;
Promerica Platinum Dolares;Alcohol, tobacco;USD;19;379.55;Expense;Cash;Chelas con Tristán;2022-11-08T22:33:09.327Z;false;;
Promerica Platinum Dolares;Rent;USD;33.5;669.2;Expense;Credit card;Mensualidad de bodega;2022-11-08T18:00:00.000Z;false;;
Promerica Platinum Dolares;Food & Drinks;USD;9.2;183.78;Expense;Cash;Red Bull;2022-11-08T11:49:43.788Z;false;;
Promerica Platinum Dolares;Taxi;USD;100;1997.62;Expense;Cash;Aeropuerto 2;2022-11-08T11:24:32.315Z;false;;
Promerica Platinum Dolares;Holiday, trips, hotels;USD;106;2117.47;Expense;Cash;Hostal para mi y tristan;2022-11-08T04:00:00.000Z;false;Hostal;
Promerica Platinum Dolares;Restaurant, fast-food;USD;15;299.64;Expense;Cash;Bandeja pisa;2022-11-07T20:02:00.736Z;false;;
Promerica Platinum Dolares;Software, apps, games;USD;4.84;96.68;Expense;Credit card;;2022-11-06T18:00:00.000Z;false;;
Promerica Platinum Dolares;Energy, utilities;USD;12;239.71;Expense;Cash;Lavandería;2022-11-06T02:18:42.486Z;false;;
Promerica Platinum Dolares;Clothes & Footwear;USD;82;1638.05;Expense;Cash;Camisas Adidas;2022-11-06T01:10:15.417Z;false;;
Promerica Platinum Dolares;Clothes & Footwear;USD;245;4894.16;Expense;Cash;Zapatos y sudadera Jordan;2022-11-06T00:36:44.192Z;false;;
Promerica Platinum Dolares;Wellness, beauty;USD;123;2457.07;Expense;Cash;Nuevos pares de lentes;2022-11-06T00:22:17.869Z;false;;
Promerica Platinum Dolares;Home, garden;USD;33;659.21;Expense;Cash;Logo de bitcoin;2022-11-05T23:59:52.001Z;false;;
Promerica Platinum Dolares;Restaurant, fast-food;USD;9;179.79;Expense;Cash;Comida;2022-11-05T22:58:34.795Z;false;;
BI Dolares;Transfer, withdraw;USD;938;18737.64;Expense;Cash;;2022-11-05T20:02:16.481Z;true;;
Promerica Platinum Dolares;Transfer, withdraw;USD;865;17279.38;Income;Cash;;2022-11-05T19:45:04.057Z;true;;
BI Dolares;Transfer, withdraw;USD;865;17279.38;Expense;Cash;;2022-11-05T19:45:04.057Z;true;;
Promerica Platinum Dolares;Fallado en traquear;USD;105.32;2103.89;Expense;Cash;;2022-11-05T19:44:15.989Z;false;;
Bi Queztales;Financial expenses;GTQ;30;76.99;Expense;Cash;;2022-11-05T18:00:00.000Z;false;;
Promerica Platinum Dolares;Restaurant, fast-food;USD;7;139.83;Expense;Cash;Cena tacos;2022-11-05T06:17:04.790Z;false;;
BBVA Crédito;Culture, sport events;MXN;4400;4400;Expense;Cash;Pago de capitas;2022-11-05T05:10:33.675Z;false;;
Promerica Platinum Dolares;Transfer, withdraw;USD;2000;39952.32;Income;Cash;;2022-11-04T22:39:16.567Z;true;;
BI Dolares;Transfer, withdraw;USD;2000;39952.32;Expense;Cash;;2022-11-04T22:39:16.567Z;true;;
BBVA 0270;Housing;MXN;13743;13743;Expense;Cash;Casa Vertiz;2022-11-04T22:35:29.339Z;false;;
Cash Mexico;Transfer, withdraw;MXN;9000;9000;Expense;Cash;;2022-11-04T22:34:40.107Z;true;;
BBVA 0270;Transfer, withdraw;MXN;9000;9000;Income;Cash;;2022-11-04T22:34:40.107Z;true;;
Promerica Platinum Dolares;Clothes & Footwear;USD;55;1098.69;Expense;Cash;Jacket Levis;2022-11-04T21:39:22.292Z;false;;
BI Dolares;Transfer, withdraw;USD;65;1298.45;Expense;Cash;Pago para diferencia de abogado;2022-11-04T05:50:13.936Z;true;;
BI Quetzales;Transfer, withdraw;GTQ;505.94;1298.45;Income;Cash;Pago para diferencia de abogado;2022-11-04T05:50:13.936Z;true;;
BI Dolares;Communication, PC;USD;200;3995.23;Expense;Cash;Pago de la computadora a mip;2022-11-04T05:46:13.954Z;false;;
BI Quetzales;Pets, animals;GTQ;1700;4362.9;Expense;Cash;Erika para Kobe Buba Troba Johnson Man;2022-11-04T05:44:54.511Z;false;;
BI Quetzales;Financial expenses;GTQ;437.85;1123.7;Expense;Cash;Comisión de manejo de dinero;2022-11-04T05:41:15.586Z;false;;
Cash Mexico;Transfer, withdraw;MXN;6084.98;6084.98;Income;Cash;;2022-11-04T05:40:35.403Z;true;;
BI Quetzales;Transfer, withdraw;GTQ;2371.01;6084.99;Expense;Cash;;2022-11-04T05:40:35.403Z;true;;
BI Quetzales;Transfer, withdraw;GTQ;2808.43;7207.6;Income;Cash;;2022-11-04T05:40:10.364Z;true;;
BI Dolares;Transfer, withdraw;USD;360.81;7207.6;Expense;Cash;;2022-11-04T05:40:10.364Z;true;;
BI Dolares;Income;USD;5700;113864.11;Income;Cash;;2022-11-04T05:39:16.553Z;false;;
BBVA 0270;Software, apps, games;MXN;149;149;Expense;Cash;HBO MAX;2022-11-04T05:38:30.989Z;false;;
BBVA 0270;Active sport, fitness;MXN;699;699;Expense;Cash;Gym;2022-11-04T05:37:59.384Z;false;;
BBVA 0270;Advisory;MXN;5000;5000;Expense;Cash;Lo que me cobró el abogado;2022-11-04T05:37:13.434Z;false;;
Cash Mexico;Transfer, withdraw;MXN;2314.9;2314.9;Income;Cash;;2022-11-04T05:36:17.988Z;true;;
BI Quetzales;Transfer, withdraw;GTQ;902;2314.9;Expense;Cash;;2022-11-04T05:36:17.988Z;true;;
Promerica Platinum Dolares;Taxes;USD;245.98;4913.74;Expense;Cash;Permiso para 1 año en mexico;2022-11-04T05:34:50.375Z;false;;
Promerica Platinum Dolares;Electronics, accessories;USD;300.56;6004.03;Expense;Cash;Equipo de grabación parte 2;2022-11-04T05:32:32.527Z;false;;
BBVA Crédito;Alcohol, tobacco;MXN;700;700;Expense;Cash;Tinder 10 boosts;2022-11-04T03:35:55.266Z;false;;
BBVA Crédito;Alcohol, tobacco;MXN;300;300;Expense;Cash;Bumblee;2022-11-04T03:21:19.127Z;false;;
Promerica Platinum Dolares;Software, apps, games;USD;4.11;82.1;Expense;Cash;;2022-11-03T18:00:00.000Z;false;;
BBVA Crédito;Internet;MXN;658;658;Expense;Cash;;2022-11-02T17:13:20.772Z;false;;
Promerica Platinum Dolares;Electronics, accessories;USD;308.66;6165.84;Expense;Cash;Equipo de grabación parte 1;2022-11-02T05:31:58.000Z;false;;
BBVA Crédito;Alcohol, tobacco;MXN;399;399;Expense;Cash;Tinder boost;2022-11-01T02:12:52.227Z;false;;
BBVA Crédito;Internet;MXN;658;658;Expense;Cash;Telmex;2022-10-31T17:01:33.382Z;false;;
Promerica Platinum Dolares;Services;USD;20;399.52;Expense;Cash;Limpieza;2022-10-30T20:38:46.720Z;false;;
Promerica Platinum Dolares;Life & Entertainment;USD;23;459.45;Expense;Cash;Chelas para club de motos;2022-10-30T04:02:59.362Z;false;;
Promerica Platinum Dolares;Restaurant, fast-food;USD;12;239.71;Expense;Cash;Desayuno colombia;2022-10-28T16:57:58.421Z;false;;
Promerica Platinum Dolares;Restaurant, fast-food;USD;23;459.45;Expense;Cash;Rappi bowl de frutas saludable y caro;2022-10-27T14:40:26.410Z;false;;
Promerica Platinum Dolares;Health care, doctor;USD;95;1897.74;Expense;Cash;Exámenes de Chopo;2022-10-27T05:01:20.000Z;false;;
Promerica Platinum Dolares;Taxi;USD;9.5;189.77;Expense;Cash;Uber de regreso Polanco a Apartsmento;2022-10-26T23:16:44.532Z;false;;
BBVA 0270;Transfer, withdraw;MXN;10500;10500;Income;Cash;;2022-10-26T22:30:07.518Z;true;;
Cash Mexico;Transfer, withdraw;MXN;10500;10500;Expense;Cash;;2022-10-26T22:30:07.518Z;true;;
Promerica Platinum Dolares;Restaurant, fast-food;USD;8.2;163.8;Expense;Cash;Frutos prohibidos;2022-10-26T21:24:39.664Z;false;;
Cash Mexico;Fallado en traquear;MXN;3082;3082;Expense;Cash;;2022-10-26T21:01:41.839Z;false;;
Cash Mexico;Transfer, withdraw;MXN;10792.12;10792.12;Income;Cash;;2022-10-26T20:58:28.501Z;true;;
BI Quetzales;Transfer, withdraw;GTQ;4205.14;10792.12;Expense;Cash;;2022-10-26T20:58:28.501Z;true;;
BI Quetzales;Transfer, withdraw;GTQ;6112.85;15688.08;Income;Cash;Transferencia;2022-10-26T20:56:53.625Z;true;;
BI Dolares;Transfer, withdraw;USD;785.34;15688.08;Expense;Cash;Transferencia;2022-10-26T20:56:53.625Z;true;;
Promerica Platinum Dolares;Charges, Fees;USD;240;4794.28;Expense;Cash;Renovación 1 año de residencia temporal;2022-10-26T19:27:27.807Z;false;;
Promerica Platinum Dolares;Drug-store, chemist;USD;92;1837.81;Expense;Cash;Exámenes de sangre;2022-10-26T14:53:01.184Z;false;;
Promerica Platinum Dolares;Software, apps, games;USD;4.29;85.7;Expense;Credit card;;2022-10-23T17:00:00.000Z;false;;
