account;category;currency;amount;ref_currency_amount;type;payment_type;note;date;transfer;payee;labels
BBVA 0270;Software, apps, games;MXN;150;150;Expense;Cash;;2023-09-22T18:00:00.000Z;false;;
BBVA 0270;Active sport, fitness;MXN;583.5;583.5;Expense;Cash;;2023-09-21T18:00:00.000Z;false;;
Promerica Platinum Dolares;TV, Streaming;USD;5.99;119.66;Expense;Credit card;;2023-09-20T18:00:00.000Z;false;Disney;
BBVA 0270;Insurances;MXN;70;70;Expense;Cash;;2023-09-13T18:00:00.000Z;false;;
BBVA 0270;Insurances;MXN;70;70;Expense;Cash;;2023-09-09T18:00:00.000Z;false;;
Promerica Platinum Dolares;Rent;USD;33.5;669.2;Expense;Credit card;Mensualidad de bodega;2023-09-08T18:00:00.000Z;false;;
Promerica Platinum Dolares;Software, apps, games;USD;4.84;96.68;Expense;Credit card;;2023-09-06T18:00:00.000Z;false;;
Bi Queztales;Financial expenses;GTQ;30;76.99;Expense;Cash;;2023-09-05T18:00:00.000Z;false;;
Promerica Platinum Dolares;Software, apps, games;USD;4.11;82.1;Expense;Cash;;2023-09-03T18:00:00.000Z;false;;
BBVA 0270;Restaurant, fast-food;MXN;418;418;Expense;Cash;;2023-09-02T04:19:08.244Z;false;;
Promerica Platinum Dolares;Hobbies;USD;185;3695.59;Expense;Cash;Donación de Terapify a mi mamá;2023-09-02T04:11:33.508Z;false;;
BBVA 0270;Transfer, withdraw;MXN;38713;38713;Expense;Cash;;2023-09-02T04:03:55.193Z;true;;
BBVA Crédito;Transfer, withdraw;MXN;38713;38713;Income;Cash;;2023-09-02T04:03:55.193Z;true;;
BBVA 0270;Housing;MXN;13500;13500;Expense;Cash;;2023-09-02T04:03:18.084Z;false;;
BBVA Crédito;Income;MXN;36545;36545;Expense;Cash;;2023-09-02T03:58:22.679Z;false;;
BBVA 0270;Financial expenses;MXN;13149;13149;Expense;Cash;;2023-09-02T03:57:39.518Z;false;;
Promerica Platinum Dolares;Software, apps, games;USD;4.29;85.7;Expense;Credit card;;2023-08-23T18:00:00.000Z;false;;
BBVA 0270;Software, apps, games;MXN;150;150;Expense;Cash;;2023-08-22T18:00:00.000Z;false;;
BBVA 0270;Active sport, fitness;MXN;583.5;583.5;Expense;Cash;;2023-08-21T18:00:00.000Z;false;;
Promerica Platinum Dolares;TV, Streaming;USD;5.99;119.66;Expense;Credit card;;2023-08-20T18:00:00.000Z;false;Disney;
BBVA 0270;Insurances;MXN;70;70;Expense;Cash;;2023-08-13T18:00:00.000Z;false;;
BBVA 0270;Insurances;MXN;70;70;Expense;Cash;;2023-08-09T18:00:00.000Z;false;;
Promerica Platinum Dolares;Rent;USD;33.5;669.2;Expense;Credit card;Mensualidad de bodega;2023-08-08T18:00:00.000Z;false;;
Promerica Platinum Dolares;Software, apps, games;USD;4.84;96.68;Expense;Credit card;;2023-08-06T18:00:00.000Z;false;;
Bi Queztales;Financial expenses;GTQ;30;76.99;Expense;Cash;;2023-08-05T18:00:00.000Z;false;;
Promerica Platinum Dolares;Software, apps, games;USD;4.11;82.1;Expense;Cash;;2023-08-03T18:00:00.000Z;false;;
BBVA 0270;Housing;MXN;8200;8200;Expense;Cash;Lava secadora;2023-07-31T23:48:05.382Z;false;;
BBVA Crédito;Transfer, withdraw;MXN;27713;27713;Income;Cash;;2023-07-31T23:47:40.641Z;true;;
BBVA 0270;Transfer, withdraw;MXN;27713;27713;Expense;Cash;;2023-07-31T23:47:40.641Z;true;;
Promerica Platinum Dolares;Software, apps, games;USD;4.29;85.7;Expense;Credit card;;2023-07-23T18:00:00.000Z;false;;
BBVA 0270;Software, apps, games;MXN;150;150;Expense;Cash;;2023-07-22T18:00:00.000Z;false;;
BBVA Crédito;Food & Drinks;MXN;554;554;Expense;Cash;Zanopeando;2023-07-21T22:00:19.975Z;false;;
BBVA 0270;Active sport, fitness;MXN;583.5;583.5;Expense;Cash;;2023-07-21T18:00:00.000Z;false;;
BI Dolares;Transfer, withdraw;USD;5.12;102.28;Expense;Cash;;2023-07-20T21:23:11.523Z;true;;
Promerica Black Quetzales;Transfer, withdraw;GTQ;39.85;102.28;Income;Cash;;2023-07-20T21:23:11.523Z;true;;
BI Quetzales;Transfer, withdraw;GTQ;169.65;435.39;Expense;Cash;;2023-07-20T21:22:59.544Z;true;;
Promerica Platinum Quetzales;Transfer, withdraw;GTQ;169.65;435.39;Income;Cash;;2023-07-20T21:22:59.544Z;true;;
BI Dolares;Transfer, withdraw;USD;941;18797.57;Expense;Cash;;2023-07-20T21:22:37.684Z;true;;
Promerica Platinum Dolares;Transfer, withdraw;USD;941;18797.57;Income;Cash;;2023-07-20T21:22:37.684Z;true;;
Promerica Platinum Dolares;TV, Streaming;USD;5.99;119.66;Expense;Credit card;;2023-07-20T18:00:00.000Z;false;Disney;
BBVA Crédito;Transfer, withdraw;MXN;10680;10680;Income;Cash;;2023-07-20T05:44:19.178Z;true;;
BBVA 0270;Transfer, withdraw;MXN;10680;10680;Expense;Cash;;2023-07-20T05:44:19.178Z;true;;
BBVA 0270;Income;MXN;118956.5;118956.5;Income;Cash;;2023-07-20T05:41:58.327Z;false;;
BI Dolares;Financial expenses;USD;3860;77107.98;Expense;Cash;;2023-07-20T05:40:38.838Z;false;;
BI Dolares;Income;USD;11569;231104.2;Income;Cash;;2023-07-20T05:40:07.417Z;false;;
BI Quetzales;Financial expenses;GTQ;70;179.65;Expense;Cash;;2023-07-20T05:39:55.034Z;false;;
BI Quetzales;Fallado en traquear;GTQ;368.67;946.16;Income;Cash;;2023-07-20T05:38:56.936Z;false;;
Promerica Platinum Quetzales;Fallado en traquear;GTQ;169.65;435.39;Expense;Cash;;2023-07-20T05:37:21.210Z;false;;
Promerica Platinum Dolares;Income;USD;2109.95;42148.7;Income;Cash;;2023-07-20T05:37:14.142Z;false;;
BBVA 0270;Insurances;MXN;70;70;Expense;Cash;;2023-07-13T18:00:00.000Z;false;;
BBVA 0270;Insurances;MXN;70;70;Expense;Cash;;2023-07-09T18:00:00.000Z;false;;
Promerica Platinum Dolares;Rent;USD;33.5;669.2;Expense;Credit card;Mensualidad de bodega;2023-07-08T18:00:00.000Z;false;;
Promerica Platinum Dolares;Software, apps, games;USD;4.84;96.68;Expense;Credit card;;2023-07-06T18:00:00.000Z;false;;
Bi Queztales;Financial expenses;GTQ;30;76.99;Expense;Cash;;2023-07-05T18:00:00.000Z;false;;
Promerica Platinum Dolares;Software, apps, games;USD;4.11;82.1;Expense;Cash;;2023-07-03T18:00:00.000Z;false;;
Promerica Platinum Dolares;Software, apps, games;USD;4.29;85.7;Expense;Credit card;;2023-06-23T18:00:00.000Z;false;;
BBVA 0270;Software, apps, games;MXN;150;150;Expense;Cash;;2023-06-22T18:00:00.000Z;false;;
BBVA 0270;Active sport, fitness;MXN;583.5;583.5;Expense;Cash;;2023-06-21T18:00:00.000Z;false;;
Promerica Platinum Dolares;TV, Streaming;USD;5.99;119.66;Expense;Credit card;;2023-06-20T18:00:00.000Z;false;Disney;
BBVA 0270;Income;MXN;4580;4580;Income;Cash;June reset 2023;2023-06-14T13:10:52.709Z;false;;
BBVA 0270;Insurances;MXN;70;70;Expense;Cash;;2023-06-13T18:00:00.000Z;false;;
BBVA 0270;Insurances;MXN;70;70;Expense;Cash;;2023-06-09T18:00:00.000Z;false;;
Promerica Platinum Dolares;Rent;USD;33.5;669.2;Expense;Credit card;Mensualidad de bodega;2023-06-08T18:00:00.000Z;false;;
Promerica Platinum Dolares;Software, apps, games;USD;4.84;96.68;Expense;Credit card;;2023-06-06T18:00:00.000Z;false;;
Bi Queztales;Financial expenses;GTQ;30;76.99;Expense;Cash;;2023-06-05T18:00:00.000Z;false;;
Promerica Platinum Dolares;Software, apps, games;USD;4.11;82.1;Expense;Cash;;2023-06-03T18:00:00.000Z;false;;
Promerica Platinum Dolares;Software, apps, games;USD;4.29;85.7;Expense;Credit card;;2023-05-23T18:00:00.000Z;false;;
BBVA 0270;Software, apps, games;MXN;150;150;Expense;Cash;;2023-05-22T18:00:00.000Z;false;;
BBVA 0270;Active sport, fitness;MXN;583.5;583.5;Expense;Cash;;2023-05-21T18:00:00.000Z;false;;
Promerica Platinum Dolares;TV, Streaming;USD;5.99;119.66;Expense;Credit card;;2023-05-20T18:00:00.000Z;false;Disney;
BBVA 0270;Insurances;MXN;70;70;Expense;Cash;;2023-05-13T18:00:00.000Z;false;;
BBVA 0270;Insurances;MXN;70;70;Expense;Cash;;2023-05-09T18:00:00.000Z;false;;
Promerica Platinum Dolares;Rent;USD;33.5;669.2;Expense;Credit card;Mensualidad de bodega;2023-05-08T18:00:00.000Z;false;;
Promerica Platinum Dolares;Software, apps, games;USD;4.84;96.68;Expense;Credit card;;2023-05-06T18:00:00.000Z;false;;
Bi Queztales;Financial expenses;GTQ;30;76.99;Expense;Cash;;2023-05-05T18:00:00.000Z;false;;
Promerica Platinum Dolares;Software, apps, games;USD;4.11;82.1;Expense;Cash;;2023-05-03T18:00:00.000Z;false;;
Promerica Platinum Dolares;Software, apps, games;USD;4.29;85.7;Expense;Credit card;;2023-04-23T18:00:00.000Z;false;;
BBVA 0270;Software, apps, games;MXN;150;150;Expense;Cash;;2023-04-22T18:00:00.000Z;false;;
BBVA 0270;Active sport, fitness;MXN;583.5;583.5;Expense;Cash;;2023-04-21T18:00:00.000Z;false;;
Promerica Platinum Dolares;TV, Streaming;USD;5.99;119.66;Expense;Credit card;;2023-04-20T18:00:00.000Z;false;Disney;
BBVA 0270;Insurances;MXN;70;70;Expense;Cash;;2023-04-13T09:00:00.000Z;false;;
BBVA 0270;Insurances;MXN;70;70;Expense;Cash;;2023-04-09T09:00:00.000Z;false;;
Promerica Platinum Dolares;Rent;USD;33.5;669.2;Expense;Credit card;Mensualidad de bodega;2023-04-08T09:00:00.000Z;false;;
Promerica Platinum Dolares;Software, apps, games;USD;4.84;96.68;Expense;Credit card;;2023-04-06T09:00:00.000Z;false;;
Bi Queztales;Financial expenses;GTQ;30;76.99;Expense;Cash;;2023-04-05T09:00:00.000Z;false;;
Promerica Platinum Dolares;Software, apps, games;USD;4.11;82.1;Expense;Cash;;2023-04-03T09:00:00.000Z;false;;
Promerica Platinum Dolares;Software, apps, games;USD;4.29;85.7;Expense;Credit card;;2023-03-23T09:00:00.000Z;false;;
BBVA 0270;Software, apps, games;MXN;150;150;Expense;Cash;;2023-03-22T09:00:00.000Z;false;;
BBVA 0270;Active sport, fitness;MXN;583.5;583.5;Expense;Cash;;2023-03-21T09:00:00.000Z;false;;
Promerica Platinum Dolares;TV, Streaming;USD;5.99;119.66;Expense;Credit card;;2023-03-20T09:00:00.000Z;false;Disney;
BBVA 0270;Insurances;MXN;70;70;Expense;Cash;;2023-03-13T09:00:00.000Z;false;;
Promerica Platinum Dolares;Bar, cafe;USD;9.75;194.77;Expense;Cash;;2023-03-12T10:32:55.955Z;false;;
BBVA 0270;Insurances;MXN;70;70;Expense;Cash;;2023-03-09T11:00:00.000Z;false;;
Promerica Platinum Dolares;Shopping;USD;30;599.28;Expense;Cash;Gear Compostela + capa + parches + coso de palo;2023-03-09T09:12:59.694Z;false;;
Promerica Platinum Dolares;Housing;USD;40;799.05;Expense;Cash;Hostel dia 1 TUI;2023-03-08T12:37:09.003Z;false;;
Promerica Platinum Dolares;Taxi;USD;4;79.9;Expense;Cash;Cagadales;2023-03-08T11:25:32.913Z;false;;
Promerica Platinum Dolares;Rent;USD;33.5;669.2;Expense;Credit card;Mensualidad de bodega;2023-03-08T11:00:00.000Z;false;;
Promerica Platinum Dolares;Taxi;USD;23;459.45;Expense;Cash;Bus x2 a España;2023-03-08T10:50:18.021Z;false;;
Promerica Platinum Dolares;Taxi;USD;8;159.81;Expense;Cash;;2023-03-07T23:28:48.685Z;false;;
Promerica Platinum Dolares;Bar, cafe;USD;22.35;446.47;Expense;Cash;Cena de vino + hamburguesa;2023-03-07T23:28:28.672Z;false;;
Promerica Platinum Dolares;Restaurant, fast-food;USD;8;159.81;Expense;Cash;Desayuno;2023-03-07T11:24:11.736Z;false;;
Promerica Platinum Dolares;Long distance;USD;30;599.28;Expense;Cash;Bus a Oporto;2023-03-07T10:14:26.283Z;false;;
Promerica Platinum Dolares;Restaurant, fast-food;USD;25;499.4;Expense;Cash;;2023-03-06T15:27:35.238Z;false;;
Promerica Platinum Dolares;Software, apps, games;USD;4.84;96.68;Expense;Credit card;;2023-03-06T12:00:00.000Z;false;;
Promerica Platinum Dolares;Taxi;USD;8;159.81;Expense;Cash;Uber con Silvia;2023-03-05T16:52:01.072Z;false;;
Bi Queztales;Financial expenses;GTQ;30;76.99;Expense;Cash;;2023-03-05T12:00:00.000Z;false;;
Promerica Platinum Dolares;Alcohol, tobacco;USD;35;699.17;Expense;Cash;Chelas;2023-03-04T23:16:52.111Z;false;;
Promerica Platinum Dolares;Restaurant, fast-food;USD;8.5;169.8;Expense;Cash;100 montaderos desayuno;2023-03-04T12:23:33.341Z;false;;
Promerica Platinum Dolares;Stationery, tools;USD;3.9;77.91;Expense;Cash;Acrílico negro;2023-03-03T17:50:44.639Z;false;;
Promerica Platinum Dolares;Stationery, tools;USD;3.5;69.92;Expense;Cash;Tinta y pincel;2023-03-03T17:11:03.121Z;false;;
Promerica Platinum Dolares;Restaurant, fast-food;USD;8.5;169.8;Expense;Cash;100 montaderos;2023-03-03T16:07:47.574Z;false;;
Promerica Platinum Dolares;Public transport;USD;17;339.59;Expense;Cash;;2023-03-03T12:08:20.072Z;false;;
Promerica Platinum Dolares;Software, apps, games;USD;4.11;82.1;Expense;Cash;;2023-03-03T12:00:00.000Z;false;;
Promerica Platinum Dolares;Groceries;USD;33;659.21;Expense;Cash;Súper para la semana;2023-03-02T10:59:24.494Z;false;;
Promerica Platinum Dolares;Taxi;USD;10;199.76;Expense;Cash;Taxi;2023-02-24T15:54:32.472Z;false;;
Promerica Platinum Dolares;Restaurant, fast-food;USD;30;599.28;Expense;Cash;Vino en la playa;2023-02-24T15:54:13.340Z;false;;
Promerica Platinum Dolares;Gifts, joy;USD;103;2057.54;Expense;Cash;Sandalias griegas;2023-02-23T13:21:54.134Z;false;;
Promerica Platinum Dolares;Software, apps, games;USD;4.29;85.7;Expense;Credit card;;2023-02-23T10:00:00.000Z;false;;
Promerica Platinum Dolares;Gifts, joy;USD;20;399.52;Expense;Cash;Perritos de only;2023-02-23T00:58:54.993Z;false;;
Promerica Platinum Dolares;Restaurant, fast-food;USD;30;599.28;Expense;Cash;Cena con chatia bonita;2023-02-22T22:25:44.220Z;false;;
BBVA 0270;Software, apps, games;MXN;150;150;Expense;Cash;;2023-02-22T10:00:00.000Z;false;;
BBVA 0270;Active sport, fitness;MXN;583.5;583.5;Expense;Cash;;2023-02-21T10:00:00.000Z;false;;
Promerica Platinum Dolares;Housing;USD;330;6592.13;Expense;Cash;Airbnb;2023-02-20T11:58:28.394Z;false;;
Promerica Platinum Dolares;TV, Streaming;USD;5.99;119.66;Expense;Credit card;;2023-02-20T10:00:00.000Z;false;Disney;
Promerica Platinum Dolares;Housing;USD;330;6592.13;Expense;Cash;Airbnb;2023-02-19T22:24:53.000Z;false;;
Promerica Platinum Dolares;Restaurant, fast-food;USD;40;799.05;Expense;Cash;;2023-02-19T22:24:20.000Z;false;;
Promerica Platinum Dolares;Gifts, joy;USD;30;599.28;Expense;Cash;Imanes;2023-02-19T11:04:37.435Z;false;;
Promerica Platinum Dolares;Food & Drinks;USD;13;259.69;Expense;Cash;Kebabs x2;2023-02-17T19:43:22.740Z;false;;
Promerica Platinum Dolares;Long distance;USD;165;3296.07;Expense;Cash;Vuelos a Milán;2023-02-17T18:06:44.902Z;false;;
Promerica Platinum Dolares;Taxi;USD;10;199.76;Expense;Cash;Uber para dealer;2023-02-16T20:03:57.332Z;false;;
Promerica Platinum Dolares;Restaurant, fast-food;USD;21;419.5;Expense;Cash;Shawarmas y postres;2023-02-16T18:23:23.401Z;false;;
Promerica Platinum Dolares;Taxi;USD;9;179.79;Expense;Cash;Uber a skoka;2023-02-15T12:56:55.419Z;false;;
Promerica Platinum Dolares;Restaurant, fast-food;USD;9;179.79;Expense;Cash;Jugo de naranja en aeropuerto;2023-02-15T04:55:52.297Z;false;;
Promerica Platinum Dolares;Taxi;USD;150;2996.42;Expense;Cash;Uber de Brucelas a aeropuerto;2023-02-15T04:55:32.798Z;false;;
Promerica Platinum Dolares;Restaurant, fast-food;USD;12;239.71;Expense;Cash;Comida de pollo después del concierto;2023-02-14T22:29:29.422Z;false;;
Promerica Platinum Dolares;Restaurant, fast-food;USD;18;359.57;Expense;Cash;Desayuno;2023-02-14T15:39:18.117Z;false;;
Promerica Platinum Dolares;Taxi;USD;10;199.76;Expense;Cash;Scooter;2023-02-14T15:38:58.682Z;false;;
Promerica Platinum Dolares;Taxi;USD;9;179.79;Expense;Cash;Lime;2023-02-14T13:30:09.294Z;false;;
Promerica Platinum Dolares;Restaurant, fast-food;USD;18.3;365.56;Expense;Cash;;2023-02-13T21:08:54.916Z;false;;
BI Dolares;Housing;USD;140;2796.66;Expense;Cash;Airbnb torcido;2023-02-13T15:33:49.318Z;false;;
BBVA 0270;Insurances;MXN;70;70;Expense;Cash;;2023-02-13T11:00:00.000Z;false;;
Promerica Platinum Dolares;Alcohol, tobacco;USD;22;439.48;Expense;Cash;Sidra y chelas;2023-02-12T20:19:31.901Z;false;;
Promerica Platinum Dolares;Alcohol, tobacco;USD;18;359.57;Expense;Cash;Bush Noel;2023-02-12T18:27:02.428Z;false;;
Promerica Platinum Dolares;Software, apps, games;USD;47;938.88;Expense;Cash;Facebook ads;2023-02-12T18:00:21.000Z;false;;
Promerica Platinum Dolares;Alcohol, tobacco;USD;16;319.62;Expense;Cash;Elefante;2023-02-12T17:34:34.920Z;false;;
Promerica Platinum Dolares;Restaurant, fast-food;USD;12;239.71;Expense;Cash;Mcondals;2023-02-12T12:08:10.531Z;false;;
Promerica Platinum Dolares;Alcohol, tobacco;USD;21;419.5;Expense;Cash;;2023-02-10T20:31:42.627Z;false;;
Promerica Platinum Dolares;Alcohol, tobacco;USD;26;519.38;Expense;Cash;Chela en bar verde;2023-02-10T19:16:50.523Z;false;;
Promerica Platinum Dolares;Alcohol, tobacco;USD;20;399.52;Expense;Cash;Weed;2023-02-10T14:18:22.528Z;false;;
Promerica Platinum Dolares;Restaurant, fast-food;USD;15;299.64;Expense;Cash;Sándwich en Ámsterdam;2023-02-10T13:38:08.287Z;false;;
Promerica Platinum Dolares;Restaurant, fast-food;USD;8;159.81;Expense;Cash;Sándwiches;2023-02-09T11:26:08.779Z;false;;
Promerica Platinum Dolares;Clothes & Footwear;USD;83;1658.02;Expense;Cash;Jacket;2023-02-09T11:08:21.014Z;false;;
BBVA 0270;Insurances;MXN;70;70;Expense;Cash;;2023-02-09T11:00:00.000Z;false;;
Promerica Platinum Dolares;Rent;USD;33.5;669.2;Expense;Credit card;Mensualidad de bodega;2023-02-08T11:00:00.000Z;false;;
Promerica Platinum Dolares;Fallado en traquear;USD;363.05;7252.34;Expense;Cash;;2023-02-07T18:54:29.974Z;false;;
Promerica Platinum Dolares;Software, apps, games;USD;4.84;96.68;Expense;Credit card;;2023-02-06T11:00:00.000Z;false;;
Promerica Platinum Dolares;Bar, cafe;USD;15;299.64;Expense;Cash;Chocolate oreo;2023-02-05T17:26:41.487Z;false;;
Promerica Platinum Dolares;Hobbies;USD;16;319.62;Expense;Cash;Canal de torcido;2023-02-05T15:48:31.219Z;false;;
Promerica Platinum Dolares;Restaurant, fast-food;USD;80;1598.09;Expense;Cash;Comida torcido;2023-02-05T13:23:52.531Z;false;;
Promerica Platinum Dolares;Alcohol, tobacco;USD;35;699.17;Expense;Cash;Weed;2023-02-05T12:52:19.438Z;false;;
Bi Queztales;Financial expenses;GTQ;30;76.99;Expense;Cash;;2023-02-05T11:00:00.000Z;false;;
BBVA Crédito;Income;MXN;5341;5341;Income;Cash;Pago de Migue a la tarjeta;2023-02-05T09:51:25.795Z;false;;
Promerica Platinum Dolares;Bar, cafe;USD;22;439.48;Expense;Cash;Cafés en dunking donuts;2023-02-04T10:44:51.896Z;false;;
BI Dolares;Income;USD;5000;99880.8;Income;Cash;;2023-02-03T22:02:13.728Z;false;;
Promerica Platinum Dolares;Hobbies;USD;78;1558.14;Expense;Cash;Facebook Add;2023-02-03T22:00:48.032Z;false;;
Promerica Platinum Dolares;Culture, sport events;USD;30;599.28;Expense;Cash;Curso de Francés;2023-02-03T19:21:30.107Z;false;;
Promerica Platinum Dolares;Restaurant, fast-food;USD;28;559.33;Expense;Cash;Ramen;2023-02-03T13:55:37.620Z;false;;
Promerica Platinum Dolares;Software, apps, games;USD;4.11;82.1;Expense;Cash;;2023-02-03T11:00:00.000Z;false;;
BI Dolares;Charity, gifts;USD;40;799.05;Expense;Cash;Tasbalito de Cayu;2023-02-03T02:55:47.935Z;false;;
Promerica Platinum Dolares;Bar, cafe;USD;6;119.86;Expense;Cash;Café con torcido;2023-02-02T16:34:09.494Z;false;;
Promerica Platinum Dolares;Alcohol, tobacco;USD;25;499.4;Expense;Cash;Trufas;2023-02-01T15:26:36.918Z;false;;
Promerica Platinum Dolares;Food & Drinks;USD;20;399.52;Expense;Cash;Pizza con torcido y banano;2023-02-01T15:26:19.514Z;false;;
Promerica Platinum Dolares;Groceries;USD;12;239.71;Expense;Cash;Desayuno de jugo de naranja postre y pan de queso;2023-02-01T08:24:59.597Z;false;;
Promerica Platinum Dolares;Restaurant, fast-food;USD;6;119.86;Expense;Cash;Waffles the azúcar;2023-01-31T20:34:19.821Z;false;;
Cash Euro;Alcohol, tobacco;EUR;10;204.11;Expense;Cash;Gemas con irlandés;2023-01-31T20:30:26.517Z;false;;
Promerica Platinum Dolares;Transportation;USD;31;619.26;Expense;Cash;Bus a Ámsterdam desde Brucelas;2023-01-31T18:37:22.011Z;false;;
Promerica Platinum Dolares;Groceries;USD;5;99.88;Expense;Cash;Fries;2023-01-31T15:28:58.429Z;false;;
Cash Euro;Restaurant, fast-food;EUR;10;204.11;Expense;Cash;Efectivo en cena por cumpleaños de Victoria;2023-01-31T01:11:53.906Z;false;;
Cash Euro;Alcohol, tobacco;EUR;60;1224.66;Expense;Cash;Vicio;2023-01-31T01:11:39.212Z;false;;
BI Quetzales;Transfer, withdraw;GTQ;3930;10086;Expense;Cash;;2023-01-31T01:11:03.792Z;true;;
