account;category;currency;amount;ref_currency_amount;type;payment_type;note;date;transfer;payee;labels
BBVA Crédito;Housing;MXN;2000;2000;Expense;Cash;Cámaras para Ani;2025-12-21T00:29:35.548Z;false;;
Promerica Platinum Dolares;TV, Streaming;USD;5.99;119.66;Expense;Credit card;;2025-12-20T18:00:00.000Z;false;Disney;
BBVA Crédito;Shopping;MXN;1200;1200;Expense;Cash;Juegos de Steam;2025-12-19T11:52:57.702Z;false;;
BBVA Crédito;Software, apps, games;MXN;479;479;Expense;Cash;Nintendo Switch;2025-12-19T11:51:16.509Z;false;;
BBVA Crédito;Telephony, mobile phone;MXN;317;317;Expense;Cash;Celular de Ani;2025-12-19T11:51:00.110Z;false;;
BBVA Crédito;Shopping;MXN;1600;1600;Expense;Cash;Audífonos;2025-12-18T05:16:59.033Z;false;;
BBVA 0270;Life & Entertainment;MXN;1800;1800;Expense;Cash;Califas Capitas;2025-12-17T18:40:41.034Z;false;;
BBVA 0270;Transfer, withdraw;MXN;76000;76000;Expense;Cash;;2025-12-17T07:30:54.403Z;true;;
BBVA Crédito;Transfer, withdraw;MXN;76000;76000;Income;Cash;;2025-12-17T07:30:54.403Z;true;;
BBVA Crédito;Gifts, joy;MXN;479;479;Expense;Cash;Nintendo Switch Comoany of Heroes;2025-12-17T07:26:01.661Z;false;;
BBVA Crédito;Shopping;MXN;749;749;Expense;Cash;Cosas de hijos de Ani;2025-12-17T07:25:42.650Z;false;;
Volaris;Leisure time;MXN;2916;2916;Expense;Cash;Free time;2025-12-16T04:09:00.000Z;false;;
BBVA 0270;Income;MXN;65000;65000;Income;Cash;IBM Salty;2025-12-15T23:40:00.000Z;false;;
BBVA Crédito;Wellness, beauty;MXN;1198;1198;Expense;Cash;Sofía Salud;2025-12-15T22:48:47.533Z;false;;
BI Quetzales;Transfer, withdraw;GTQ;6400;16425.03;Expense;Cash;;2025-12-15T22:47:15.594Z;true;;
Promerica Platinum Dolares;Transfer, withdraw;USD;822.23;16425.03;Income;Cash;;2025-12-15T22:47:15.594Z;true;;
Promerica Platinum Quetzales;Transfer, withdraw;GTQ;878;2253.31;Income;Cash;;2025-12-15T22:41:11.816Z;true;;
BI Quetzales;Transfer, withdraw;GTQ;878;2253.31;Expense;Cash;;2025-12-15T22:41:11.816Z;true;;
BBVA 0270;Transfer, withdraw;MXN;34300;34300;Expense;Cash;;2025-12-15T22:13:34.890Z;true;;
Volaris;Transfer, withdraw;MXN;34300;34300;Income;Cash;;2025-12-15T22:13:34.890Z;true;;
BI Quetzales;Transfer, withdraw;GTQ;2337.89;6000;Income;Cash;;2025-12-15T22:09:36.328Z;true;;
BBVA 0270;Transfer, withdraw;MXN;6000;6000;Expense;Cash;;2025-12-15T22:09:36.328Z;true;;
BBVA Crédito;Shopping;MXN;520;520;Expense;Cash;Puzzle;2025-12-15T07:29:00.000Z;false;;
BBVA Crédito;Shopping;MXN;2715;2715;Expense;Cash;Christmas Chinese Plays;2025-12-15T07:26:00.000Z;false;;
BI Quetzales;Pets, animals;GTQ;3000;7699.23;Expense;Cash;;2025-12-15T06:52:09.770Z;false;;
BI Dolares;Transfer, withdraw;USD;1000;19976.16;Expense;Cash;;2025-12-15T06:51:57.828Z;true;;
BI Quetzales;Transfer, withdraw;GTQ;7783.69;19976.16;Income;Cash;;2025-12-15T06:51:57.828Z;true;;
BBVA Crédito;Maintenance, repairs;MXN;6000;6000;Expense;Cash;Jardín y casa;2025-12-14T21:17:13.681Z;false;;
BBVA 0270;Transfer, withdraw;MXN;20000;20000;Expense;Cash;;2025-12-14T17:57:50.969Z;true;;
BI Dolares;Transfer, withdraw;USD;1001.19;20000;Income;Cash;;2025-12-14T17:57:50.969Z;true;;
BBVA 0270;Vehicle;MXN;14400;14400;Expense;Cash;Cuota de Vehículo;2025-12-14T17:45:42.833Z;false;;
BBVA Crédito;Shopping;MXN;539;539;Expense;Cash;Baterías de Amazon recargables;2025-12-14T06:53:22.122Z;false;;
Promerica Platinum Quetzales;Taxes;GTQ;70;179.65;Expense;Cash;Promerica seguro;2025-12-14T06:23:37.524Z;false;;
Promerica Platinum Quetzales;Telephony, mobile phone;GTQ;260;667.27;Expense;Cash;Última cuota iPhone;2025-12-14T06:23:21.623Z;false;;
Promerica Platinum Quetzales;Telephony, mobile phone;GTQ;541;1388.43;Expense;Cash;Última cuota de iPhone;2025-12-14T06:22:55.075Z;false;;
BBVA 0270;Insurances;MXN;70;70;Expense;Cash;;2025-12-13T18:00:00.000Z;false;;
BBVA Crédito;Groceries;MXN;1406;1406;Expense;Cash;Costco Toluca;2025-12-13T17:36:40.369Z;false;;
BBVA Crédito;Alcohol, tobacco;MXN;87;87;Expense;Cash;Oxxo cigarros;2025-12-13T17:35:24.912Z;false;;
BBVA Crédito;Software, apps, games;MXN;449;449;Expense;Cash;Microsoft;2025-12-13T17:34:55.863Z;false;;
BBVA Crédito;Internet;MXN;554;554;Expense;Cash;Adobe;2025-12-12T17:38:00.000Z;false;;
BBVA Crédito;Groceries;MXN;3255;3255;Expense;Cash;Soriana;2025-12-12T17:37:00.000Z;false;;
BBVA Crédito;Telephony, mobile phone;MXN;579;579;Expense;Cash;Telcel;2025-12-12T17:37:00.000Z;false;;
BBVA Crédito;Fuel;MXN;679;679;Expense;Cash;Primera tanda de combustible;2025-12-12T17:36:00.000Z;false;;
BBVA Crédito;Fuel;MXN;1002;1002;Expense;Cash;Segunda llenada de tanque;2025-12-12T17:35:00.000Z;false;;
BBVA 0270;Energy, utilities;MXN;700;700;Expense;Cash;Plomero #reembolsable;2025-12-11T17:46:00.000Z;false;;
BBVA Crédito;Software, apps, games;MXN;99;99;Expense;Cash;Amazon Prime;2025-12-11T17:38:00.000Z;false;;
BBVA Crédito;Software, apps, games;MXN;179;179;Expense;Cash;Juego de certificado;2025-12-10T17:41:00.000Z;false;;
BBVA Crédito;Vehicles, chattels;MXN;457;457;Expense;Cash;Antropic;2025-12-10T17:39:00.000Z;false;;
BBVA Crédito;Communication, PC;MXN;149;149;Expense;Cash;Crunchy Roll;2025-12-10T17:39:00.000Z;false;;
BBVA 0270;Insurances;MXN;70;70;Expense;Cash;;2025-12-09T18:00:00.000Z;false;;
Promerica Platinum Dolares;Rent;USD;33.5;669.2;Expense;Credit card;Mensualidad de bodega;2025-12-08T18:00:00.000Z;false;;
BBVA 0270;Housing;MXN;6700;6700;Expense;Cash;Mesa;2025-12-07T17:47:00.000Z;false;;
BBVA Crédito;Clothes & Footwear;MXN;3462;3462;Expense;Cash;Ropa JP;2025-12-07T03:01:11.501Z;false;;
BBVA Crédito;Restaurant, fast-food;MXN;1265;1265;Expense;Cash;Walmart en outlet;2025-12-07T01:48:32.808Z;false;;
BBVA Crédito;Shopping;MXN;2996;2996;Expense;Cash;Ropa de Ani;2025-12-06T22:21:32.635Z;false;;
Promerica Platinum Dolares;Software, apps, games;USD;4.84;96.68;Expense;Credit card;;2025-12-06T18:00:00.000Z;false;;
Bi Queztales;Financial expenses;GTQ;30;76.99;Expense;Cash;;2025-12-05T18:00:00.000Z;false;;
BBVA Crédito;Alcohol, tobacco;MXN;1000;1000;Expense;Cash;Weed;2025-12-04T23:04:37.784Z;false;;
BBVA Crédito;Vehicle;MXN;1024;1024;Expense;Cash;Impuesto de placas;2025-12-04T21:20:10.993Z;false;;
BBVA Crédito;Software, apps, games;MXN;1104;1104;Expense;Cash;Civ7;2025-12-04T08:13:27.768Z;false;;
BBVA Crédito;Restaurant, fast-food;MXN;621;621;Expense;Cash;Comida de Cordero asquerosa;2025-12-04T00:13:26.129Z;false;;
BBVA Crédito;Internet;MXN;20;20;Expense;Cash;Crunchy Roll;2025-12-04T00:12:57.264Z;false;;
BBVA 0270;Health care, doctor;MXN;1800;1800;Expense;Cash;Berenice Gukasyan;2025-12-03T23:15:15.435Z;false;;
BBVA 0270;Education, development;MXN;599;599;Expense;Cash;Curso de contabilidad;2025-12-03T23:14:30.685Z;false;;
Promerica Platinum Dolares;Software, apps, games;USD;4.11;82.1;Expense;Cash;;2025-12-03T18:00:00.000Z;false;;
BBVA Crédito;Shopping;MXN;1640;1640;Expense;Cash;Walmart Mario y Homer;2025-12-02T02:11:00.903Z;false;;
BBVA Crédito;Restaurant, fast-food;MXN;4389;4389;Expense;Cash;Costco;2025-12-02T02:09:55.398Z;false;;
Volaris;Software, apps, games;MXN;149;149;Expense;Cash;Apple Certification App;2025-12-01T23:29:00.000Z;false;;
BI Quetzales;Financial expenses;GTQ;30;76.99;Expense;Cash;Débito plan comodidad;2025-12-01T06:21:00.000Z;false;;
BBVA Crédito;Restaurant, fast-food;MXN;2240;2240;Expense;Cash;Soriana comida;2025-12-01T04:59:08.437Z;false;;
BBVA Crédito;TV, Streaming;MXN;6999;6999;Expense;Cash;Televisor;2025-11-30T20:39:05.494Z;false;;
BBVA Crédito;Alcohol, tobacco;MXN;350;350;Expense;Cash;Pipa de Mandalorian;2025-11-30T01:28:15.611Z;false;;
BBVA Crédito;Food & Drinks;MXN;107;107;Expense;Cash;Rappi de Ani;2025-11-30T01:27:55.642Z;false;;
BBVA Crédito;Vehicle;MXN;1458;1458;Expense;Cash;Diésel;2025-11-30T01:27:05.750Z;false;;
BBVA Crédito;Restaurant, fast-food;MXN;447;447;Expense;Cash;Tacos de Ani parque delta;2025-11-30T01:17:05.270Z;false;;
BBVA 0270;Transportation;MXN;4500;4500;Expense;Cash;Mudanza;2025-11-29T21:24:39.116Z;false;;
BBVA Crédito;Internet;MXN;129;129;Expense;Cash;Karspersky;2025-11-29T06:31:41.792Z;false;;
BBVA Crédito;Restaurant, fast-food;MXN;372;372;Expense;Cash;Tacos Árabes;2025-11-29T06:31:26.912Z;false;;
BBVA 0270;Housing;MXN;19500;19500;Expense;Cash;Diciembre apartamento;2025-11-29T06:30:24.111Z;false;;
BBVA 0270;Advisory;MXN;7800;7800;Expense;Cash;Notariado para nueva casa;2025-11-29T06:29:38.078Z;false;;
BBVA 0270;Life & Entertainment;MXN;4000;4000;Expense;Cash;Gastos caja chica;2025-11-28T17:26:48.808Z;false;;
BI Quetzales;Transfer, withdraw;GTQ;1151.37;2954.9;Income;Cash;;2025-11-28T15:28:36.851Z;true;;
BBVA 0270;Transfer, withdraw;MXN;23000;23000;Expense;Cash;;2025-11-28T15:28:36.851Z;true;;
BBVA Crédito;Shopping;MXN;3300;3300;Expense;Cash;Dyson Gukasyan;2025-11-27T02:23:44.666Z;false;;
BBVA Crédito;Shopping;MXN;700;700;Expense;Cash;Cosas para limpiar casa;2025-11-25T03:38:08.990Z;false;;
Promerica Platinum Dolares;Software, apps, games;USD;4.29;85.7;Expense;Credit card;;2025-11-23T18:00:00.000Z;false;;
BBVA 0270;Software, apps, games;MXN;150;150;Expense;Cash;;2025-11-22T18:00:00.000Z;false;;
Volaris;Groceries;MXN;1340;1340;Expense;Cash;Turkish place;2025-11-22T02:40:25.944Z;false;;
Volaris;Gifts, joy;MXN;290;290;Expense;Cash;Posible pastel;2025-11-21T23:43:00.000Z;false;;
BBVA 0270;Vehicle;MXN;10000;10000;Expense;Cash;Pantalla de carro;2025-11-21T22:06:39.987Z;false;;
BBVA 0270;Active sport, fitness;MXN;583.5;583.5;Expense;Cash;;2025-11-21T18:00:00.000Z;false;;
BBVA 0270;Housing;MXN;19500;19500;Expense;Cash;Depósito de vivienda;2025-11-21T14:50:36.345Z;false;;
BBVA 0270;Vehicle;MXN;500;500;Expense;Cash;Reserva de carro;2025-11-21T14:50:14.726Z;false;;
BBVA 0270;Transfer, withdraw;MXN;5000;5000;Expense;Cash;;2025-11-21T14:49:38.448Z;true;;
Volaris;Transfer, withdraw;MXN;5000;5000;Income;Cash;;2025-11-21T14:49:38.448Z;true;;
BBVA 0270;Active sport, fitness;MXN;599;599;Expense;Cash;Smart gym (need to remove);2025-11-21T14:48:40.719Z;false;;
Volaris;Food & Drinks;MXN;252;252;Expense;Cash;Bebidas chinas de Ani;2025-11-21T01:50:11.254Z;false;;
Promerica Platinum Dolares;TV, Streaming;USD;5.99;119.66;Expense;Credit card;;2025-11-20T18:00:00.000Z;false;Disney;
BBVA 0270;Vehicle;MXN;15000;15000;Expense;Cash;Primer pago del carro;2025-11-20T02:56:00.000Z;false;;
Volaris;Groceries;MXN;277;277;Expense;Cash;Chocolates;2025-11-20T00:49:33.222Z;false;;
BBVA 0270;Jewels, accessories;MXN;14281;14281;Expense;Cash;Ibiscus;2025-11-19T19:16:59.980Z;false;;
BBVA Crédito;Vehicle;MXN;15000;15000;Expense;Cash;Mitsubishi;2025-11-19T16:08:16.757Z;false;;
Volaris;Restaurant, fast-food;MXN;525;525;Expense;Cash;Álvaro Obregón;2025-11-19T02:29:43.958Z;false;;
BBVA Crédito;Health care, doctor;MXN;3740;3740;Expense;Cash;Examen de clamidia;2025-11-18T18:18:27.897Z;false;;
Volaris;Food & Drinks;MXN;155;155;Expense;Cash;Pastel impulsivo;2025-11-18T16:16:00.000Z;false;;
Volaris;Wellness, beauty;MXN;402;402;Expense;Cash;Corte de cabello;2025-11-18T16:15:00.000Z;false;;
BBVA Crédito;Restaurant, fast-food;MXN;525;525;Expense;Cash;Bisquet Obregon;2025-11-18T16:14:00.000Z;false;;
Volaris;Food & Drinks;MXN;978;978;Expense;Cash;Compras chinas;2025-11-17T16:19:00.000Z;false;;
BBVA Crédito;Transfer, withdraw;MXN;50000;50000;Income;Cash;;2025-11-16T19:10:04.839Z;true;;
BBVA 0270;Transfer, withdraw;MXN;50000;50000;Expense;Cash;;2025-11-16T19:10:04.839Z;true;;
Volaris;Restaurant, fast-food;MXN;468;468;Expense;Cash;Líbano;2025-11-16T03:43:00.000Z;false;;
BBVA Crédito;Gifts, joy;MXN;2000;2000;Expense;Cash;Regalos de Tristán, Maya y Ani;2025-11-16T02:43:33.589Z;false;;
Volaris;Shopping;MXN;1200;1200;Expense;Cash;Pijama de Ani;2025-11-16T01:27:48.101Z;false;;
Volaris;Hobbies;MXN;340;340;Expense;Cash;Pista de hielo;2025-11-15T23:37:55.985Z;false;;
Volaris;Housing;MXN;1900;1900;Expense;Cash;Liverpool;2025-11-15T23:16:58.880Z;false;;
Volaris;Food & Drinks;MXN;144;144;Expense;Cash;Juicy;2025-11-15T16:20:00.000Z;false;;
Volaris;Food & Drinks;MXN;38.5;38.5;Expense;Cash;Oxxo;2025-11-15T15:40:00.000Z;false;;
BBVA 0270;Financial expenses;MXN;4000;4000;Expense;Cash;Some poquito cash;2025-11-15T01:36:21.392Z;false;;
Volaris;Groceries;MXN;2264;2264;Expense;Cash;Carne asada;2025-11-15T01:33:25.519Z;false;;
Volaris;Gifts, joy;MXN;2640;2640;Expense;Cash;Lentes de mi mamá;2025-11-15T01:32:49.383Z;false;;
Volaris;Hobbies;MXN;6000;6000;Expense;Cash;Ayuda al hermano de Ani;2025-11-14T23:43:57.217Z;false;;
BBVA Crédito;Health care, doctor;MXN;1198;1198;Expense;Cash;Sofía Salud;2025-11-14T23:43:39.058Z;false;;
Volaris;Transfer, withdraw;MXN;31747;31747;Income;Cash;Pago INVEX Volaris;2025-11-14T23:36:32.864Z;true;We;
BBVA 0270;Transfer, withdraw;MXN;31747;31747;Expense;Cash;Pago INVEX Volaris;2025-11-14T23:36:32.864Z;true;We;
BBVA 0270;Hobbies;MXN;6500;6500;Expense;Cash;Ayuda a papá;2025-11-14T17:14:47.872Z;false;;
BBVA 0270;TV, Streaming;MXN;3500;3500;Expense;Cash;PSP;2025-11-14T17:08:03.429Z;false;;
BBVA Crédito;Software, apps, games;MXN;400;400;Expense;Cash;Nintendo switch;2025-11-14T17:05:19.557Z;false;;
BBVA Crédito;Shopping;MXN;176;176;Expense;Cash;PSP protector;2025-11-14T17:05:04.064Z;false;;
BBVA Crédito;Vehicle maintenance;MXN;5409;5409;Expense;Cash;Cagada diesel;2025-11-14T17:04:16.589Z;false;;
BBVA Crédito;Fuel;MXN;1635;1635;Expense;Cash;;2025-11-14T17:04:01.122Z;false;;
BBVA 0270;Income;MXN;63300;63300;Income;Cash;IBM;2025-11-14T14:55:50.113Z;false;;
BBVA 0270;Insurances;MXN;70;70;Expense;Cash;;2025-11-13T18:00:00.000Z;false;;
Volaris;Long distance;MXN;3781;3781;Expense;Cash;Korea para Ibiscus último pago 6 de 6;2025-11-12T23:23:00.000Z;false;;
BBVA Crédito;Software, apps, games;MXN;464;464;Expense;Cash;Anthropic;2025-11-11T17:06:00.000Z;false;;
BBVA Crédito;Health care, doctor;MXN;4104;4104;Expense;Cash;Exámenes de chopo;2025-11-11T17:05:00.000Z;false;;
BBVA Crédito;Hobbies;MXN;100;100;Expense;Cash;PLAY TIME;2025-11-11T03:28:02.228Z;false;;
BBVA 0270;Alcohol, tobacco;MXN;1300;1300;Expense;Cash;Marihuana de Sr Migue y mío;2025-11-11T01:38:00.000Z;false;;
BBVA Crédito;Telephony, mobile phone;MXN;579;579;Expense;Cash;;2025-11-10T17:07:00.000Z;false;;
BBVA 0270;Insurances;MXN;70;70;Expense;Cash;;2025-11-09T18:00:00.000Z;false;;
Volaris;Fallado en traquear;MXN;380;380;Expense;Cash;;2025-11-08T23:50:00.000Z;false;;
Volaris;Restaurant, fast-food;MXN;410;410;Expense;Cash;El buen taco;2025-11-08T23:49:00.000Z;false;;
Promerica Platinum Dolares;Rent;USD;33.5;669.2;Expense;Credit card;Mensualidad de bodega;2025-11-08T18:00:00.000Z;false;;
BBVA Crédito;Transportation;MXN;249;249;Expense;Cash;Taxi 249 a Reforma;2025-11-08T01:29:32.240Z;false;;
BBVA Crédito;Vehicle;MXN;66;66;Expense;Cash;Uber 66;2025-11-08T01:28:08.211Z;false;;
BBVA Crédito;Food & Drinks;MXN;207;207;Expense;Cash;Jugos en Santa Fe;2025-11-08T01:27:41.026Z;false;;
BBVA Crédito;Maintenance, repairs;MXN;809;809;Expense;Cash;Bodega Ustorage;2025-11-08T01:26:52.411Z;false;;
Volaris;Hobbies;MXN;180;180;Expense;Cash;Playtime maquinitas;2025-11-07T23:52:00.000Z;false;;
Volaris;Restaurant, fast-food;MXN;17;17;Expense;Cash;7eleven;2025-11-07T23:50:00.000Z;false;;
Volaris;Shopping;MXN;680;680;Expense;Cash;Pista de hielo de Ani;2025-11-07T23:28:00.000Z;false;;Ani
BBVA Crédito;Taxi;MXN;339;339;Expense;Cash;;2025-11-07T01:30:00.000Z;false;;
Volaris;Food & Drinks;MXN;229;229;Expense;Cash;Taqueria Jalisco;2025-11-06T23:58:00.000Z;false;;
Volaris;Wellness, beauty;MXN;1716;1716;Expense;Cash;Unas de Ani;2025-11-06T23:57:00.000Z;false;;Ani
Volaris;Gifts, joy;MXN;2250;2250;Expense;Cash;Lentes de mamá, View Óptica;2025-11-06T23:54:00.000Z;false;;
Volaris;Internet;MXN;300;300;Expense;Cash;Telcel;2025-11-06T23:53:00.000Z;false;;Ani
Promerica Platinum Dolares;Software, apps, games;USD;4.84;96.68;Expense;Credit card;;2025-11-06T18:00:00.000Z;false;;
Bi Queztales;Financial expenses;GTQ;30;76.99;Expense;Cash;;2025-11-05T18:00:00.000Z;false;;
BBVA Crédito;Gifts, joy;MXN;2250;2250;Expense;Cash;Lentes de mamá;2025-11-04T23:47:44.295Z;false;;
BBVA 0270;Housing;MXN;14400;14400;Expense;Cash;Renta de casa;2025-11-04T19:12:31.419Z;false;;
BBVA Crédito;Transfer, withdraw;MXN;19371.56;19371.56;Expense;Cash;;2025-11-04T19:03:54.207Z;true;;
BBVA Crédito;Culture, sport events;MXN;904;904;Expense;Cash;Ticketmaster ;2025-11-04T19:02:37.116Z;false;;
BBVA 0270;Financial expenses;MXN;19000;19000;Expense;Cash;Binance;2025-11-04T18:54:54.469Z;false;;
BBVA 0270;Financial expenses;MXN;15000;15000;Expense;Cash;Binance;2025-11-04T18:54:19.821Z;false;;
BBVA 0270;Wage, invoices;MXN;432000;432000;Income;Cash;Final Salary Thomson Reuters;2025-11-04T18:53:51.148Z;false;;
Promerica Platinum Dolares;Software, apps, games;USD;4.11;82.1;Expense;Cash;;2025-11-03T18:00:00.000Z;false;;
Volaris;Rent;MXN;1781;1781;Expense;Cash;Bodega;2025-11-01T23:59:00.000Z;false;;
BBVA Crédito;Software, apps, games;MXN;940;940;Expense;Cash;Coursera;2025-10-31T07:14:54.180Z;false;;
BBVA Crédito;Shopping;MXN;1501.56;1501.56;Expense;Cash;Mason compras sin intereses;2025-10-31T07:14:28.466Z;false;;
BBVA Crédito;Shopping;MXN;1363.88;1363.88;Expense;Cash;Amazon compra a plazos;2025-10-31T07:14:05.026Z;false;;
BBVA Crédito;Software, apps, games;MXN;462;462;Expense;Cash;Antropic;2025-10-31T07:13:18.018Z;false;;
BBVA Crédito;Vehicle;MXN;566;566;Expense;Cash;Bicicleta;2025-10-26T07:12:00.000Z;false;;
BBVA Crédito;Vehicle;MXN;566;566;Expense;Cash;Casa Ecobici;2025-10-26T07:12:00.000Z;false;;
BBVA Crédito;Rentals;MXN;566;566;Expense;Cash;Bicicleta Alan;2025-10-26T04:59:27.590Z;false;;
BBVA 0270;Vehicle;MXN;50500;50500;Expense;Cash;Compra carro;2025-10-24T13:37:22.544Z;false;;
BBVA 0270;Hobbies;MXN;5000;5000;Expense;Cash;Gukasyan Cash;2025-10-24T00:18:47.434Z;false;;
BBVA 0270;Active sport, fitness;MXN;699;699;Expense;Cash;Gym;2025-10-23T23:43:58.063Z;false;;
Promerica Black Quetzales;Transfer, withdraw;GTQ;63.7;163.48;Income;Cash;;2025-10-23T23:42:23.305Z;true;;
Promerica Platinum Quetzales;Transfer, withdraw;GTQ;876.54;2249.56;Income;Cash;;2025-10-23T23:42:07.448Z;true;;
BI Quetzales;Transfer, withdraw;GTQ;876.54;2249.56;Expense;Cash;;2025-10-23T23:42:07.448Z;true;;
BI Quetzales;Transfer, withdraw;GTQ;460;1180.55;Income;Cash;;2025-10-23T23:41:53.414Z;true;;
BI Dolares;Transfer, withdraw;USD;16.1;321.62;Expense;Cash;;2025-10-23T23:41:38.014Z;true;;
BBVA 0270;Vehicle;MXN;5000;5000;Expense;Cash;Reserva de vehículo;2025-10-23T23:41:02.358Z;false;;
Promerica Platinum Dolares;Software, apps, games;USD;4.29;85.7;Expense;Credit card;;2025-10-23T18:00:00.000Z;false;;
BBVA 0270;Vehicle;MXN;1000;1000;Expense;Cash;Licencia de conducir;2025-10-22T18:00:00.000Z;false;;
BBVA 0270;Active sport, fitness;MXN;583.5;583.5;Expense;Cash;;2025-10-21T18:00:00.000Z;false;;
Promerica Platinum Dolares;TV, Streaming;USD;5.99;119.66;Expense;Credit card;;2025-10-20T18:00:00.000Z;false;Disney;
BBVA 0270;Loans, interests;MXN;27000;27000;Expense;Cash;Pago de tarjeta Promerica crédito;2025-10-20T05:05:00.849Z;false;;
BBVA 0270;Loans, interests;MXN;37500;37500;Expense;Cash;Pago de tarjeta de crédito Volaris;2025-10-19T21:31:13.998Z;false;;
BBVA Crédito;Culture, sport events;MXN;2161;2161;Expense;Cash;Cumpleaños 50 de Abelardo Díaz Carvallo;2025-10-18T21:42:27.183Z;false;;
BBVA 0270;Transfer, withdraw;MXN;22737;22737;Expense;Cash;;2025-10-15T14:15:55.530Z;true;;
BBVA Crédito;Transfer, withdraw;MXN;22737;22737;Income;Cash;;2025-10-15T14:15:55.530Z;true;;
BBVA Crédito;Transfer, withdraw;MXN;25465;25465;Expense;Cash;;2025-10-15T14:15:07.502Z;true;;
BBVA 0270;Income;MXN;104444.5;104444.5;Income;Cash;Thomson + IBM;2025-10-15T14:12:02.080Z;false;;
BBVA 0270;Insurances;MXN;70;70;Expense;Cash;;2025-10-13T18:00:00.000Z;false;;
BBVA 0270;Insurances;MXN;70;70;Expense;Cash;;2025-10-09T18:00:00.000Z;false;;
Promerica Platinum Dolares;Rent;USD;33.5;669.2;Expense;Credit card;Mensualidad de bodega;2025-10-08T18:00:00.000Z;false;;
Promerica Platinum Dolares;Software, apps, games;USD;4.84;96.68;Expense;Credit card;;2025-10-06T18:00:00.000Z;false;;
Bi Queztales;Financial expenses;GTQ;30;76.99;Expense;Cash;;2025-10-05T18:00:00.000Z;false;;
Promerica Platinum Dolares;Software, apps, games;USD;4.11;82.1;Expense;Cash;;2025-10-03T18:00:00.000Z;false;;
BBVA 0270;Maintenance, repairs;MXN;520;520;Expense;Cash;Gas;2025-09-30T16:43:05.828Z;false;;
BBVA 0270;Housing;MXN;16500;16500;Expense;Cash;Pago de casa;2025-09-30T16:42:52.676Z;false;;
